id	ten	tac_gia	license	so_tam	dinh_dang	tag
861OxhtGRGy	Chair	Jordan Geizer	CREATIVE_COMMONS_BY 3.0	262864	USDZ,GLTF2,GLB,GLTF1	
0MmIbleQag8	Tower of babel	Thomas de Rivaz	CREATIVE_COMMONS_BY 3.0	17766	GLTF2,BLOCKS,USDZ,GLB,GLTF1	architecture,curated
9L2Lt-sxzdp	Robot Kit v.1	Jarlan Perez	CREATIVE_COMMONS_BY 3.0	76640	GLTF2,GLTF1,BLOCKS,USDZ,GLB	curated,tech
3r2JcOZShpE	Knights Character Kit	Jacques Fourie	CREATIVE_COMMONS_BY 3.0	52538	GLTF2,BLOCKS,GLB,USDZ,GLTF1	blocks,curated,MedievalBlocks,people
N2mTJShMmMM	SCP 096	BananaPlayz	CREATIVE_COMMONS_BY 4.0	17074	BLOCKS,OBJ	
7bF7UVAoYRG	Camaro ZL1 2017	Kris Tong	CREATIVE_COMMONS_BY 3.0	4500	GLTF2,GLTF1,BLOCKS,USDZ,GLB	curated,transport
eke7qcu_FR2	Cheeseburger	Google	CREATIVE_COMMONS_BY 3.0	1095	GLTF1,USDZ,GLTF2,GLB	burger,curated,food,hamburger
e9TjIeucW9s	fire	シンガキ	CREATIVE_COMMONS_BY 4.0	2104	OBJ,BLOCKS	
WUhgnCEsBtM	鴨鴨	crtty0317	CREATIVE_COMMONS_BY 4.0	0	BLOCKS,FBX,OBJ	
7zxi7fH9IFI	spacekarl <2mb	Steven An	CREATIVE_COMMONS_BY 3.0	17998	GLTF2,GLB,USDZ,GLTF1	curated
8o7td_5LeXY	torch	narukawa	CREATIVE_COMMONS_BY 4.0	1392	BLOCKS,OBJ	
YGOoQtL_WoE	model	crtty0317	CREATIVE_COMMONS_BY 4.0	396	BLOCKS,OBJ	
bOqGkfwDt8m	Transformers - Soundwave	Tipatat Chennavasin	CREATIVE_COMMONS_BY 3.0	4412	GLTF2,GLTF1,FBX,USDZ,BLOCKS,OBJ,GLB	anime,curated,people,robot
dpum1NJARAo	Time Hotel 8.01 Narnia	Paul Michael	CREATIVE_COMMONS_BY 3.0	16429	GLTF2,OBJ,GLTF1,USDZ,BLOCKS,FBX,GLB	curated,objects
3Rn4V6kg8Tt	JD Anime	Jason Daniel	CREATIVE_COMMONS_BY 3.0	13093	GLTF2,USDZ,GLB,GLTF1	
7MZsi08V8NW	Floating Island Asset	VR XRTIST	CREATIVE_COMMONS_BY 3.0	747020	GLTF2,USDZ,GLB,GLTF1	curated,nature
bLcfZrqfUaH	GalleryForAndrew	Christopher McAdams	CREATIVE_COMMONS_BY 3.0	84436	GLTF1,FBX,USDZ,GLTF2,GLB	
1d3Op3LLzFz	Gallery 1	Felix Schittig	CREATIVE_COMMONS_BY 3.0	4404	GLTF2,GLTF1,FBX,USDZ,GLB,BLOCKS,OBJ	architecture
6esTxseOOta	QR Gallery Two	Eric Souther	CREATIVE_COMMONS_BY 3.0	12344	GLTF2,GLTF1,FBX,USDZ,GLB	art
28WIxM8gkHi	Oculus Quest	Jasmine Roberts	CREATIVE_COMMONS_BY 3.0	3510	GLTF2,FBX,USDZ,GLTF1,GLB	
aetdgQ-1m-3	Oculus controller right	Miguelangelo Rosario	CREATIVE_COMMONS_BY 3.0	13223	GLTF1,USDZ,GLTF2,GLB	
2HW4E4Gsea_	Oculus controller left	Miguelangelo Rosario	CREATIVE_COMMONS_BY 3.0	13223	GLTF1,USDZ,GLTF2,GLB	
WwpXepZtD2E	A dead robot	Nagata	CREATIVE_COMMONS_BY 4.0	0	BLOCKS,OBJ	
8gVr4pedhp9	Monster Kit 1.0	Damon Pidhajecky	CREATIVE_COMMONS_BY 3.0	44902	GLTF2,GLTF1,BLOCKS,USDZ,GLB	blocks,curated,MonsterBlocks
f2h6jsVypFD	vap	Caja	CREATIVE_COMMONS_BY 3.0	159977	GLTF2,GLTF1,GLB	
7feMcaqxFfF	sexy	Logan Kerr	CREATIVE_COMMONS_BY 3.0	30203	GLTF1,USDZ,GLB,GLTF2	
53DjTbNlu9z	Earth	Smirnoff Alexander	CREATIVE_COMMONS_BY 3.0	120576	GLTF2,USDZ,GLTF1,GLB	curated,nature
9OPocAqXM0u	Moon	Google	CREATIVE_COMMONS_BY 3.0	6456	GLTF2,USDZ,GLB,GLTF1	curated,objects,space
VejMT4pAAK4	hatsune_miku_v6	rhythmJedi	CC0	0	GLTF2	
6xn1irne__S	Sonic the Hedgehog	Katie Cox	CREATIVE_COMMONS_BY 3.0	1696	GLTF1,GLTF2,USDZ,GLB	people
diY85IPpKxj	Sonic the Hedgehog	Anne Reel	CREATIVE_COMMONS_BY 3.0	3898	GLB,USDZ,GLTF2,GLTF1	people
